timestamp,status,metric
16:48:05,有人,1.9578
16:48:08,有人,1.9620
16:48:09,有人,1.9123
16:48:10,有人,1.8611
16:48:12,有人,1.8582
16:48:15,有人,1.8598
16:48:16,有人,1.8689
16:48:18,有人,1.9205
16:48:21,有人,1.9308
16:48:22,有人,1.9237
16:48:23,有人,1.8865
16:48:25,有人,1.8691
16:48:28,有人,1.8740
16:48:28,有人,1.9102
16:48:29,有人,1.9212
16:48:31,有人,1.9211
16:48:34,有人,1.9132
16:48:35,有人,1.9183
16:48:36,有人,1.9181
16:48:38,有人,1.9018
16:48:41,有人,1.8774
16:58:20,没人,1.0182
16:58:20,没人,1.0186
16:58:20,没人,1.0217
16:58:20,没人,1.0182
16:58:20,没人,1.0196
16:58:20,没人,1.0211
16:58:20,没人,1.0185
16:58:20,没人,1.0180
16:58:20,没人,1.0310
16:58:20,没人,1.0328
16:58:20,没人,1.0336
16:58:20,没人,1.0297
16:58:20,没人,1.0344
16:58:20,没人,1.0350
16:58:20,没人,1.0310
16:58:20,没人,1.0295
16:58:20,没人,1.0341
16:58:20,没人,1.0398
16:58:20,没人,1.0328
16:58:20,没人,1.0334
16:58:20,没人,1.0338
16:58:20,没人,1.0480
16:58:20,没人,1.0530
16:58:20,没人,1.0526
16:58:20,没人,1.0526
16:58:20,没人,1.0518
16:58:20,没人,1.0528
16:58:20,没人,1.0545
16:58:20,没人,1.0538
16:58:20,没人,1.0527
16:58:20,没人,1.0552
16:58:20,没人,1.0555
16:58:21,没人,1.0561
16:58:21,没人,1.0556
16:58:21,没人,1.0623
16:58:21,没人,1.0632
16:58:21,没人,1.0698
16:58:21,没人,1.0730
16:58:21,没人,1.0784
16:58:21,没人,1.1378
16:58:21,没人,1.1547
16:58:21,没人,1.1850
16:58:21,没人,1.2315
16:58:21,没人,1.2907
16:58:21,没人,1.3630
16:58:21,没人,1.4723
16:58:21,没人,1.5773
16:58:21,没人,1.6758
16:58:21,没人,1.7614
16:58:21,没人,1.8356
16:58:21,没人,1.8966
16:58:21,没人,1.9310
16:58:21,没人,1.9668
16:58:21,没人,2.0705
16:58:21,没人,2.3261
16:58:21,没人,2.5944
16:58:21,没人,2.8105
16:58:21,没人,2.9733
16:58:21,没人,3.1729
16:58:21,没人,3.3363
16:58:21,没人,3.5679
16:58:21,没人,3.6807
16:58:21,没人,3.7552
16:58:21,没人,3.8138
16:58:21,没人,3.8666
16:58:21,没人,3.9091
16:58:21,没人,3.9286
16:58:21,没人,3.9429
16:58:21,没人,3.9690
16:58:21,没人,3.9780
16:58:21,没人,3.9917
16:58:21,没人,4.0041
16:58:21,没人,4.0173
16:58:21,没人,4.0201
16:58:21,没人,4.0132
16:58:21,没人,4.0027
16:58:21,没人,3.9892
16:58:21,没人,3.9782
16:58:21,没人,3.8107
16:58:21,没人,3.6418
16:58:21,没人,3.6288
16:58:21,没人,3.6106
16:58:22,没人,3.5959
16:58:22,没人,3.5770
16:58:22,没人,3.3485
16:58:22,没人,3.3177
16:58:22,没人,3.3129
16:58:22,没人,3.3016
16:58:22,没人,3.2832
16:58:22,没人,3.2693
16:58:22,没人,3.2592
16:58:22,没人,3.2366
16:58:22,没人,3.2180
16:58:22,没人,3.2001
16:58:22,没人,3.1837
16:58:22,没人,3.1624
16:58:22,没人,3.1547
16:58:22,没人,3.1385
16:58:22,没人,3.1205
16:58:22,没人,3.1165
16:58:22,没人,3.0946
16:58:22,没人,3.0740
16:58:22,没人,3.0524
16:58:22,没人,3.0445
16:58:22,没人,3.0216
16:58:22,没人,3.0013
16:58:22,没人,2.9912
16:58:22,没人,2.9820
16:58:22,没人,2.9822
16:58:22,没人,2.9800
